SIG_CD,SIG_ENG_NM,SIG_KOR_NM,NUMPOINTS
"11110",Jongno-gu,종로구,474
"11140",Jung-gu,중구,247
"11170",Yongsan-gu,용산구,380
"11200",Seongdong-gu,성동구,512
"11215",Gwangjin-gu,광진구,322
"11230",Dongdaemun-gu,동대문구,347
"11260",Jungnang-gu,중랑구,397
"11290",Seongbuk-gu,성북구,652
"11305",Gangbuk-gu,강북구,487
"11320",Dobong-gu,도봉구,429
"11350",Nowon-gu,노원구,586
"11380",Eunpyeong-gu,은평구,567
"11410",Seodaemun-gu,서대문구,526
"11440",Mapo-gu,마포구,610
"11470",Yangcheon-gu,양천구,407
"11500",Gangseo-gu,강서구,698
"11530",Guro-gu,구로구,618
"11545",Geumcheon-gu,금천구,393
"11560",Yeongdeungpo-gu,영등포구,609
"11590",Dongjak-gu,동작구,481
"11620",Gwanak-gu,관악구,508
"11650",Seocho-gu,서초구,718
"11680",Gangnam-gu,강남구,619
"11710",Songpa-gu,송파구,517
"11740",Gangdong-gu,강동구,440
