sgg,total_amt_corr,tot_popltn_co
강남구,1600231796936,529962
강동구,304912421021,460280
강북구,134752996931,293119
강서구,367726959119,568666
관악구,192331403810,487430
광진구,245522858974,337071
구로구,235566747285,395422
금천구,263003873689,229395
노원구,282478291357,502820
도봉구,108481699876,310853
동대문구,229465755176,337293
동작구,213760110992,379622
마포구,235805849157,365447
서대문구,309873008638,308194
서초구,772255487026,405126
성동구,199188534988,280474
성북구,220337506485,430170
송파구,514271718715,658868
양천구,251549351802,440042
영등포구,328769522408,376410
용산구,124746109179,218175
은평구,225242762071,465627
종로구,409436747567,141433
중구,204506303262,120555
중랑구,155449321339,385129
