"동별(1)",동별(2),동별(3),2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",소계,소계,4465391,9667463,4670224,4997239,9422710,4563512,4859198,244753,106712,138041
"합계",종로구,소계,72644,152013,72711,79302,140891,68079,72812,11122,4632,6490
"합계",종로구,사직동,4584,9371,4203,5168,9104,4047,5057,267,156,111
"합계",종로구,삼청동,1138,2605,1244,1361,2301,1096,1205,304,148,156
"합계",종로구,부암동,4125,9448,4488,4960,9168,4334,4834,280,154,126
"합계",종로구,평창동,7238,17710,8283,9427,17520,8184,9336,190,99,91
"합계",종로구,무악동,3014,8037,3696,4341,8008,3684,4324,29,12,17
"합계",종로구,교남동,4377,9939,4579,5360,9764,4484,5280,175,95,80
"합계",종로구,가회동,1938,4064,1898,2166,3939,1835,2104,125,63,62
"합계",종로구,종로1.2.3.4가동,4951,8744,5032,3712,6737,4097,2640,2007,935,1072
"합계",종로구,종로5.6가동,3608,5898,3097,2801,5419,2857,2562,479,240,239
"합계",종로구,이화동,4292,7619,3554,4065,7046,3342,3704,573,212,361
"합계",종로구,창신1동,2703,5442,2872,2570,4630,2452,2178,812,420,392
"합계",종로구,창신2동,4001,8728,4463,4265,7625,3921,3704,1103,542,561
"합계",종로구,창신3동,2776,6584,3241,3343,6424,3154,3270,160,87,73
"합계",종로구,숭인1동,2974,6082,2906,3176,5778,2786,2992,304,120,184
"합계",종로구,숭인2동,6582,10563,5031,5532,9800,4804,4996,763,227,536
"합계",종로구,청운효자동,5109,11720,5378,6342,11531,5280,6251,189,98,91
"합계",종로구,혜화동,9234,19459,8746,10713,16097,7722,8375,3362,1024,2338
"합계",중구,소계,64081,131772,63679,68093,121250,58806,62444,10522,4873,5649
"합계",중구,소공동,1262,3544,1777,1767,2210,1047,1163,1334,730,604
"합계",중구,회현동,2546,5168,2685,2483,4490,2340,2150,678,345,333
"합계",중구,명동,1439,3619,1600,2019,2702,1149,1553,917,451,466
"합계",중구,필동,2438,4888,2424,2464,3957,2055,1902,931,369,562
"합계",중구,장충동,2870,5392,2808,2584,4592,2424,2168,800,384,416
"합계",중구,광희동,3789,7062,3488,3574,5620,2802,2818,1442,686,756
"합계",중구,을지로동,1684,2549,1447,1102,2307,1333,974,242,114,128
"합계",중구,신당5동,5355,10492,5068,5424,10160,4920,5240,332,148,184
"합계",중구,황학동,7426,13719,6453,7266,12818,6081,6737,901,372,529
"합계",중구,중림동,5729,12288,6070,6218,11960,5909,6051,328,161,167
"합계",중구,신당동,4774,9063,4330,4733,7567,3725,3842,1496,605,891
"합계",중구,다산동,6829,13900,6693,7207,13419,6489,6930,481,204,277
"합계",중구,약수동,7780,16529,7634,8895,16315,7529,8786,214,105,109
"합계",중구,청구동,6183,13365,6315,7050,13125,6203,6922,240,112,128
"합계",중구,동화동,3977,10194,4887,5307,10008,4800,5208,186,87,99
"합계",용산구,소계,109712,232311,112532,119779,217611,104580,113031,14700,7952,6748
"합계",용산구,후암동,8294,16697,8114,8583,16201,7876,8325,496,238,258
"합계",용산구,용산2가동,5085,10299,5022,5277,9010,4340,4670,1289,682,607
"합계",용산구,남영동,4994,7507,4520,2987,7023,4269,2754,484,251,233
"합계",용산구,원효로2동,6170,13813,6497,7316,13705,6452,7253,108,45,63
"합계",용산구,효창동,4724,10895,5166,5729,10754,5104,5650,141,62,79
"합계",용산구,용문동,5318,11599,5542,6057,11483,5500,5983,116,42,74
"합계",용산구,이촌1동,9152,25592,12079,13513,24969,11732,13237,623,347,276
"합계",용산구,이촌2동,3606,8043,3761,4282,7973,3735,4238,70,26,44
"합계",용산구,이태원1동,3479,7961,4216,3745,6125,3029,3096,1836,1187,649
"합계",용산구,이태원2동,4819,10381,4925,5456,8670,4045,4625,1711,880,831
"합계",용산구,서빙고동,5104,13410,6481,6929,12536,6032,6504,874,449,425
"합계",용산구,보광동,7006,13930,7187,6743,12583,6286,6297,1347,901,446
"합계",용산구,청파동,11114,19833,9097,10736,19055,8870,10185,778,227,551
"합계",용산구,원효로1동,9283,17806,8338,9468,17168,7995,9173,638,343,295
"합계",용산구,한강로동,11344,22777,10887,11890,21149,10033,11116,1628,854,774
"합계",용산구,한남동,10220,21768,10700,11068,19207,9282,9925,2561,1418,1143
"합계",성동구,소계,133503,287261,139093,148168,279980,136059,143921,7281,3034,4247
"합계",성동구,왕십리2동,7386,16646,7990,8656,16251,7820,8431,395,170,225
"합계",성동구,마장동,10940,22620,11094,11526,21971,10838,11133,649,256,393
"합계",성동구,사근동,8296,14199,7099,7100,12100,6345,5755,2099,754,1345
"합계",성동구,행당1동,6453,13997,6698,7299,13700,6585,7115,297,113,184
"합계",성동구,행당2동,9245,23084,10745,12339,22990,10709,12281,94,36,58
"합계",성동구,응봉동,5937,15008,7137,7871,14951,7110,7841,57,27,30
"합계",성동구,금호1가동,6548,15073,7177,7896,14989,7142,7847,84,35,49
"합계",성동구,금호4가동,6382,14373,6811,7562,14244,6750,7494,129,61,68
"합계",성동구,성수1가1동,7460,15936,7930,8006,15636,7767,7869,300,163,137
"합계",성동구,성수1가2동,5972,12325,6010,6315,12123,5919,6204,202,91,111
"합계",성동구,성수2가1동,7809,15446,8005,7441,14972,7790,7182,474,215,259
"합계",성동구,성수2가3동,5317,10489,5232,5257,10241,5116,5125,248,116,132
"합계",성동구,송정동,5443,10367,5471,4896,9969,5265,4704,398,206,192
"합계",성동구,용답동,7495,12792,6457,6335,11847,6079,5768,945,378,567
"합계",성동구,왕십리도선동,12185,26872,12624,14248,26385,12426,13959,487,198,289
"합계",성동구,금호2.3가동,9898,22278,10649,11629,22108,10573,11535,170,76,94
"합계",성동구,옥수동,10737,25756,11964,13792,25503,11825,13678,253,139,114
"합계",광진구,소계,169725,351038,167983,183055,336558,162071,174487,14480,5912,8568
"합계",광진구,화양동,18234,27312,12434,14878,23379,11116,12263,3933,1318,2615
"합계",광진구,군자동,11385,21564,10585,10979,19286,9553,9733,2278,1032,1246
"합계",광진구,중곡1동,8656,15832,7517,8315,15435,7346,8089,397,171,226
"합계",광진구,중곡2동,10648,21156,9938,11218,20817,9804,11013,339,134,205
"합계",광진구,중곡3동,8556,16165,7958,8207,15920,7863,8057,245,95,150
"합계",광진구,중곡4동,13126,28244,13753,14491,27874,13615,14259,370,138,232
"합계",광진구,능동,6441,11568,5321,6247,11163,5124,6039,405,197,208
"합계",광진구,구의1동,13103,24036,11424,12612,23364,11155,12209,672,269,403
"합계",광진구,구의2동,11510,26412,12611,13801,25857,12380,13477,555,231,324
"합계",광진구,구의3동,12094,28368,13360,15008,28128,13260,14868,240,100,140
