SPO_1KM,병원개수,노인의료,노인주거,장애인거주,장애인의료,약국,지하철역,버스정류장,총점,순위
다사5844,2.0,0.0,0.0,0.0,0.0,2.0,0.42857142857142855,2.0625,6.491071428571429,1
다사5352,0.30393996247654786,0.0,1.0,0.0,0.0,0.5797101449275363,1.7142857142857142,2.015625,5.6135608216897985,2
다사4850,0.35647279549718575,0.0,0.0,0.0,0.0,0.6376811594202899,1.7142857142857142,2.625,5.33343966920319,3
다사5452,0.5666041275797373,0.0,0.0,0.0,0.0,1.1304347826086956,1.2857142857142856,2.296875,5.279628195902719,4
다사5351,0.3827392120075047,0.0,0.0,0.0,0.0,0.8985507246376812,1.2857142857142856,2.53125,5.098254222359472,5
다사5552,0.2551594746716698,0.0,0.0,0.0,0.0,0.7536231884057971,2.1428571428571423,1.875,5.026639805934609,6
다사5847,1.898686679174484,0.0,0.0,0.0,0.0,1.5942028985507246,0.42857142857142855,0.796875,4.718336006296637,7
다사5149,0.600375234521576,0.16666666666666666,0.0,0.0,0.0,1.1304347826086956,0.0,2.765625,4.663101683796938,8
다사5752,0.3151969981238274,0.16666666666666666,0.0,0.0,0.0,0.7536231884057971,1.7142857142857142,1.6875,4.637272567482006,9
다사5251,0.14634146341463414,0.6666666666666666,0.0,0.0,0.0,0.31884057971014496,0.8571428571428571,2.53125,4.520241566934303,10
다사5652,0.4352720450281426,0.0,0.0,0.0,0.0,1.3043478260869565,0.8571428571428571,1.921875,4.518637728257956,11
다사5651,0.0900562851782364,0.0,0.0,0.0,0.0,0.14492753623188406,3.0,1.265625,4.50060882141012,12
다사5750,0.17636022514071295,0.0,0.0,1.0,0.0,0.34782608695652173,0.42857142857142855,2.53125,4.484007740668663,13
다사5050,0.4727954971857411,0.0,0.0,0.25,0.0,0.7246376811594203,0.8571428571428571,2.15625,4.460826035488019,14
다사5252,0.21013133208255158,0.16666666666666666,0.0,0.0,0.0,0.6956521739130435,0.0,3.0,4.072450172662261,15
다사5443,0.5966228893058161,0.0,0.0,0.25,0.0,0.9565217391304348,0.42857142857142855,1.828125,4.059841057007679,16
다사5851,0.450281425891182,0.0,0.0,0.0,0.0,0.7536231884057971,1.2857142857142856,1.453125,3.9427439000112647,17
다사5751,0.3076923076923077,0.0,0.0,0.0,0.0,0.7536231884057971,1.2857142857142856,1.546875,3.8939047818123904,18
다사5643,0.2176360225140713,0.16666666666666666,0.0,0.0,0.0,0.463768115942029,1.7142857142857142,1.3125,3.874856519408481,19
다사5946,0.4803001876172608,0.0,0.0,0.25,0.0,0.6376811594202899,1.7142857142857142,0.703125,3.7853920613232646,20
